trialNo,trialCode,stimFile,trialDuration,timeElapsed,trialOnset,corrAns,clockSource,trialType,questionTxt
1,0,,0.629318692,0.629318692,0,,,,
2,1,2_aRevClock_a6.tiff,2,2.629318692,0.629318692,,,,
3,0,,0.698789115,3.328107807,2.629318692,,,,
4,1,4_aClock_a6.tiff,2,5.328107807,3.328107807,,,,
5,0,,0.753912595,6.082020402,5.328107807,,,,
6,1,3_aRevClock_a1.tiff,2,8.082020402,6.082020402,,,,
7,0,,0.557414435,8.639434838,8.082020402,,,,
8,3,EmptyImageryBox.tiff,3,11.63943484,8.639434838,,,,
9,4,3_aClock_a1.tiff,3,14.63943484,11.63943484,1,3_aRevClock_a1.tiff,TP,Is this the same ANGLE?
10,0,,0.679342453,15.31877729,14.63943484,,,,
11,1,6_d12Clock_a3.tiff,2,17.31877729,15.31877729,,,,
12,0,,0.874753671,18.19353096,17.31877729,,,,
13,1,4_d24Clock_a4.tiff,2,20.19353096,18.19353096,,,,
14,0,,0.83051432,21.02404528,20.19353096,,,,
15,3,EmptyImageryBox.tiff,3,24.02404528,21.02404528,,,,
16,5,4_d12Clock_a4.tiff,3,27.02404528,24.02404528,1,4_d24Clock_a4.tiff,TP,Is this the same TIME?
17,0,,0.760452985,27.78449827,27.02404528,,,,
18,1,9_aClock_a4.tiff,2,29.78449827,27.78449827,,,,
19,0,,0.983126109,30.76762438,29.78449827,,,,
20,1,3_aClock_a2.tiff,2,32.76762438,30.76762438,,,,
21,0,,0.654882519,33.4225069,32.76762438,,,,
22,3,EmptyImageryBox.tiff,3,36.4225069,33.4225069,,,,
23,4,3_aRevClock_a2.tiff,3,39.4225069,36.4225069,2,3_aClock_a2.tiff,FP,Is this the same IMAGE?
24,0,,0.598778922,40.02128582,39.4225069,,,,
